2026-07-22 10:12:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-22 10:12:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-22 10:12:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
2026-07-22 10:12:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | Log File: /home/asd/Projects/zooui/logs/zooui.log
2026-07-22 10:12:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:33 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 3 workers
2026-07-22 10:12:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | ZooUI Logging System Initialized
2026-07-22 10:12:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-22 10:12:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-22 10:12:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
2026-07-22 10:12:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | Log File: /home/asd/Projects/zooui/logs/zooui.log
2026-07-22 10:12:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | ZooUI Logging System Initialized
2026-07-22 10:12:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-22 10:12:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-22 10:12:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
2026-07-22 10:12:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | Log File: /home/asd/Projects/zooui/logs/zooui.log
2026-07-22 10:12:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:33 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 4 workers
2026-07-22 10:12:33 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 4 workers
2026-07-22 10:12:34 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:34 | [INFO    ] | zooui.LoggerConfig        | initialize           | ZooUI Logging System Initialized
2026-07-22 10:12:34 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-22 10:12:34 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-22 10:12:34 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
2026-07-22 10:12:34 | [INFO    ] | zooui.LoggerConfig        | initialize           | Log File: /home/asd/Projects/zooui/logs/zooui.log
2026-07-22 10:12:34 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:34 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 7 workers
2026-07-22 10:12:34 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:34 | [INFO    ] | zooui.LoggerConfig        | initialize           | ZooUI Logging System Initialized
2026-07-22 10:12:34 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-22 10:12:34 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-22 10:12:34 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
2026-07-22 10:12:34 | [INFO    ] | zooui.LoggerConfig        | initialize           | Log File: /home/asd/Projects/zooui/logs/zooui.log
2026-07-22 10:12:34 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:34 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:34 | [INFO    ] | zooui.LoggerConfig        | initialize           | ZooUI Logging System Initialized
2026-07-22 10:12:34 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-22 10:12:34 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-22 10:12:34 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
